station,avg_boardings_per_day,latitude,longitude,agency
500 East Station,237.866070707,40.722306,-111.877085,UTA
700 East Station,223.81844760772728,40.722798,-111.871612,UTA
Central Pointe Station,1082.8572174435456,40.724801,-111.896861,UTA
Central Pointe Station,1082.8572174435456,40.724091,-111.896892,UTA
Central Pointe Station,1082.8572174435456,40.723424,-111.896794,UTA
Fairmont Station,655.762408248,40.722757,-111.861675,UTA
South Salt Lake City Station,231.16794076663635,40.722263,-111.890174,UTA
Sugarmont Station,240.65642012945455,40.722818,-111.865092,UTA
"Astoria-Ditmars Blvd (N,W)",7808.0,40.775036,-73.91203,NYC Subway
"49 St (N,R,W)",6091.0,40.7599,-73.98414,NYC Subway
"Hewes St (M,J)",1332.0,40.70687,-73.95343,NYC Subway
"Marcy Av (M,J,Z)",4500.0,40.70836,-73.957756,NYC Subway
"Bowery (J,Z)",786.0,40.72028,-73.99391,NYC Subway
"Broad St (J,Z)",1209.0,40.706474,-74.011055,NYC Subway
Middle Village-Metropolitan Av (M),2227.0,40.711395,-73.8896,NYC Subway
Fresh Pond Rd (M),3597.0,40.706184,-73.895874,NYC Subway
Forest Av (M),2875.0,40.704422,-73.903076,NYC Subway
Seneca Av (M),1599.0,40.702763,-73.90774,NYC Subway
Knickerbocker Av (M),2188.0,40.698666,-73.91971,NYC Subway
Central Av (M),2128.0,40.697857,-73.9274,NYC Subway
3 Av (L),1561.0,40.73285,-73.98612,NYC Subway
1 Av (L),9613.0,40.730953,-73.98163,NYC Subway
Bedford Av (L),12730.0,40.717304,-73.95687,NYC Subway
Graham Av (L),4144.0,40.714565,-73.94405,NYC Subway
Grand St (L),2884.0,40.711926,-73.94067,NYC Subway
Montrose Av (L),3032.0,40.70774,-73.93985,NYC Subway
Morgan Av (L),2837.0,40.706154,-73.93314,NYC Subway
Jefferson St (L),3817.0,40.706608,-73.92291,NYC Subway
DeKalb Av (L),7222.0,40.70381,-73.91843,NYC Subway
Halsey St (L),4960.0,40.695602,-73.90408,NYC Subway
"28 St (R,W)",2857.0,40.745495,-73.98869,NYC Subway
Wilson Av (L),2503.0,40.688763,-73.904045,NYC Subway
Bushwick Av-Aberdeen St (L),1362.0,40.68283,-73.90525,NYC Subway
Atlantic Av (L),1273.0,40.675346,-73.9031,NYC Subway
Sutter Av (L),2124.0,40.66937,-73.90198,NYC Subway
Livonia Av (L),1451.0,40.66404,-73.90057,NYC Subway
New Lots Av (L),1888.0,40.658733,-73.89923,NYC Subway
East 105 St (L),1378.0,40.650574,-73.89948,NYC Subway
Canarsie-Rockaway Pkwy (L),1542.0,40.646652,-73.90185,NYC Subway
"23 St (R,W)",5400.0,40.741302,-73.98934,NYC Subway
Park Pl (S),732.0,40.67477,-73.95763,NYC Subway
Inwood-207 St (A),4554.0,40.868073,-73.9199,NYC Subway
Dyckman St (A),3304.0,40.86549,-73.92727,NYC Subway
190 St (A),2318.0,40.85902,-73.93418,NYC Subway
181 St (A),4782.0,40.851696,-73.937965,NYC Subway
175 St (A),5284.0,40.84739,-73.939705,NYC Subway
163 St-Amsterdam Av (C),2261.0,40.836014,-73.939896,NYC Subway
155 St (C),1337.0,40.830517,-73.94151,NYC Subway
"145 St (A,C,B,D)",10741.0,40.824783,-73.944214,NYC Subway
"135 St (C,B)",2763.0,40.817894,-73.94765,NYC Subway
"125 St (A,C,B,D)",10724.0,40.811108,-73.95235,NYC Subway
"116 St (C,B)",2869.0,40.805084,-73.95488,NYC Subway
"Cathedral Pkwy (110 St) (C,B)",3381.0,40.800602,-73.95816,NYC Subway
"103 St (C,B)",2103.0,40.796093,-73.96146,NYC Subway
"96 St (C,B)",3498.0,40.79164,-73.9647,NYC Subway
"86 St (C,B)",4337.0,40.78587,-73.96892,NYC Subway
"81 St-Museum of Natural History (C,B)",4236.0,40.781433,-73.972145,NYC Subway
"8 St-NYU (R,W)",4477.0,40.730328,-73.99263,NYC Subway
"72 St (C,B)",3235.0,40.775593,-73.97641,NYC Subway
"50 St (C,E)",6945.0,40.762455,-73.985985,NYC Subway
"34 St-Penn Station (A,C,E)",30646.0,40.75229,-73.99339,NYC Subway
"23 St (C,E)",6860.0,40.745907,-73.99804,NYC Subway
"W 4 St-Wash Sq (A,C,E,B,D,F,M)",11399.0,40.732338,-74.000496,NYC Subway
"Spring St (C,E)",3035.0,40.726227,-74.00374,NYC Subway
"Canal St (A,C,E)",3833.0,40.720825,-74.005226,NYC Subway
"Prince St (R,W)",2385.0,40.72433,-73.9977,NYC Subway
"High St (A,C)",2814.0,40.699337,-73.99053,NYC Subway
"Hoyt-Schermerhorn Sts (A,C,G)",3728.0,40.688484,-73.985,NYC Subway
Lafayette Av (C),1982.0,40.68611,-73.973946,NYC Subway
Clinton-Washington Avs (C),3368.0,40.68326,-73.965836,NYC Subway
"Nostrand Av (A,C)",8170.0,40.68044,-73.950424,NYC Subway
Kingston-Throop Avs (C),3264.0,40.67992,-73.94086,NYC Subway
"Utica Av (A,C)",6590.0,40.679363,-73.93073,NYC Subway
Ralph Av (C),2766.0,40.67882,-73.920784,NYC Subway
Rockaway Av (C),3227.0,40.67834,-73.91195,NYC Subway
Liberty Av (C),1376.0,40.67454,-73.896545,NYC Subway
Van Siclen Av (C),1810.0,40.67271,-73.89036,NYC Subway
Shepherd Av (C),1429.0,40.67413,-73.88075,NYC Subway
"Euclid Av (A,C)",6557.0,40.675377,-73.87211,NYC Subway
Grant Av (A),2933.0,40.677044,-73.86505,NYC Subway
80 St (A),2599.0,40.67937,-73.85899,NYC Subway
88 St (A),1723.0,40.679844,-73.85147,NYC Subway
Rockaway Blvd (A),3725.0,40.680428,-73.84386,NYC Subway
104 St (A),1137.0,40.68171,-73.837685,NYC Subway
111 St (A),1433.0,40.68433,-73.83216,NYC Subway
Ozone Park-Lefferts Blvd (A),3896.0,40.68595,-73.8258,NYC Subway
Aqueduct Racetrack (A),227.0,40.672096,-73.83592,NYC Subway
Aqueduct-N Conduit Av (A),502.0,40.668236,-73.83406,NYC Subway
Howard Beach-JFK Airport (A),1602.0,40.660477,-73.8303,NYC Subway
"Broad Channel (A,S)",183.0,40.608383,-73.815926,NYC Subway
"Astoria Blvd (N,W)",5713.0,40.77026,-73.91785,NYC Subway
"City Hall (R,W)",1666.0,40.713284,-74.00698,NYC Subway
"Beach 90 St (A,S)",397.0,40.588036,-73.813644,NYC Subway
"Beach 98 St (A,S)",215.0,40.585308,-73.82056,NYC Subway
"Beach 105 St (A,S)",131.0,40.58321,-73.82756,NYC Subway
"Rockaway Park-Beach 116 St (A,S)",362.0,40.580902,-73.835594,NYC Subway
Beach 67 St (A),1182.0,40.590927,-73.79692,NYC Subway
Beach 60 St (A),930.0,40.592373,-73.78852,NYC Subway
Beach 44 St (A),427.0,40.59294,-73.77602,NYC Subway
Beach 36 St (A),496.0,40.595398,-73.76817,NYC Subway
Beach 25 St (A),997.0,40.600067,-73.76135,NYC Subway
